concept_from_alex_street,count_unique_wiki_article_text_appeared_in,count_unique_wiki_article_title_appeared_in,count_unique_alexander_street_docs_appeared_in
completed,431579,2172,26
associate,431416,2796,1
soon,431396,10745,93
weeds,431045,5004,1
committed,430893,8355,12
lee,430605,24973,1
wills,429356,19503,1
fare,428676,12728,2
independent,428300,10509,7
boy,428270,37631,38
sick,427883,14929,13
cestre,427179,27738,1
inn,426206,39807,2
canada,425972,15583,14
modern,425520,5388,1
culture,424825,14622,20
wording,424715,2370,7
working,424702,3191,229
prime,424659,14790,2
gone,424231,20679,75
wrote,424207,1192,34
fills,423532,32341,1
half,423354,27436,99
witch,423207,31608,1
term,423021,93198,21
air,422892,27835,35
charged,422181,3875,16
fu,421755,47916,1
placing,420206,3037,8
closes,419472,4577,1
refer,419131,698,12
rape,417654,19028,1
authors,417464,4281,1
rating,416780,9188,3
green,415128,28244,5
competition,415098,3800,28
republics,415034,27613,10
support,414908,3251,312
island,414416,47102,13
performance,414059,2518,9
bid,413729,9831,2
australia,413395,43524,12
precious,413374,1026,4
exerted,412327,2736,4
listed,412111,5424,9
developed,411577,792,23
retained,411037,1495,12
playing,410004,2930,3
forced,409968,17484,60
trade,409752,10085,37
republic,409719,27125,28
returned,409491,3976,50
lake,408790,50911,5
seven,408634,7111,18
million,408494,1953,3
band,407705,47482,9
mary,407462,32196,11
lock,406710,14049,1
addition,406348,1789,147
leading,406214,4964,5
committee,405970,8333,324
dobut,405684,4810,1
mount,405509,25466,4
lectured,405375,944,2
owners,405116,2788,2
venus,404858,5833,1
collection,404672,8856,6
ice,404646,22027,2
publishing,404580,2590,2
today,404550,2534,110
deferred,404425,463,1
popular,403965,4283,6
shows,403398,15621,15
reference,403362,2329,34
stuff,402990,4401,2
staged,402653,5218,1
chanced,402000,2321,1
opened,401611,218,60
additions,401187,1581,2
tess,400415,3416,1
c january,400045,56,1
daily,399185,6382,1
seasons,399063,125340,1
middle,398606,10866,15
social,397626,9947,16
private,397411,4928,6
network,397396,12577,1
dome,397338,9613,1
policy,396995,13696,77
washington,396320,21748,365
appear,396167,1902,46
mire,394890,34928,1
upon,394664,3151,119
erected,394646,4042,5
elected,394635,3711,105
clubs,394593,33962,40
organization,394089,8824,281
c july,393943,113,2
ambition,393791,684,8
fond,393273,20779,2
cores,392734,4657,2
c june,392694,120,1
mass,392299,13155,7
similar,391700,733,3
guile,391282,4803,1
nun,390722,20466,1
library,390646,11997,15
sail,390614,16005,3
sea,390498,15410,20
program,389664,8886,139
ties,389278,3271,4
chiefs,388828,6676,3
resign,388031,6101,17
reverence,387680,2220,6
considered,387321,258,89
foundations,387029,8528,3
c september,386997,66,1
week,386977,4632,126
sam,386790,24433,1
meddle,386643,10381,1
bm,386381,40955,2
though,386016,5897,43
countries,385526,5181,148
operation,385413,14865,25
eat,385303,39481,17
museum,385271,24531,5
weights,384458,8744,4
butter,384381,8935,1
expended,384226,1694,4
chief,383965,8975,11
females,383920,2711,19
female,383779,2679,25
common,383009,8125,13
boarder,382998,4535,1
designed,382424,7644,13
less,382422,4738,97
radio,381840,14788,11
care,381698,21872,84
founders,381325,3102,28
tills,380612,13648,1
alumni,380327,2061,5
border,379604,5156,2
fat,379517,14444,1
hanged,379275,3145,1
thief,379239,8125,1
teach,378999,18488,41
champion,378915,9997,4
remained,378913,1270,11
charter,378723,8844,7
army,378671,23303,23
civil,378513,10528,21
